hip_pitch_delta,knee_pitch_delta,ankle_pitch_delta,joint_delta_l2,right_hip_pitch,right_knee_pitch,right_ankle_pitch,left_hip_pitch,left_knee_pitch,left_ankle_pitch,com_x,com_y,com_z,support_x_min,support_x_max,support_y_min,support_y_max,support_polygon_xy,com_signed_distance,com_inside_support,left_sole_roll,left_sole_pitch,right_sole_roll,right_sole_pitch,sole_tilt_max,candidate_valid
-0.104,-0.036,0.136,0.24741867350707386,-0.734,0.11399999999999999,-0.774,0.734,-0.11399999999999999,0.774,-0.00029079119587319775,-0.0213470716605935,0.34236549555533513,-0.14230546710071706,0.14145312465592502,-0.021517453770794386,0.13859442273640882,"-0.142305,+0.138481;-0.142242,-0.021517;+0.141389,-0.021440;+0.141453,+0.138559;+0.051453,+0.138594",0.00013171903626219337,1,-0.003977314101500014,-5.941140667296962e-07,-0.0039791427356872635,1.1902746023945478e-06,0.0039791427356872635,1
-0.112,-0.028,0.132,0.248,-0.742,0.122,-0.778,0.742,-0.122,0.778,-0.0002907915582251608,-0.021561597447770014,0.342447698054889,-0.14234486448729172,0.14149254664110947,-0.022693875599182768,0.13745029002152817,"-0.142345,+0.137301;-0.142217,-0.022694;+0.141365,-0.022616;+0.141493,+0.137378;+0.051493,+0.137450;-0.052345,+0.137373",0.001093523623291333,1,-0.00795732413766197,-3.0058948845213754e-06,-0.007959164516041312,3.5863459917055407e-06,0.007959164516041312,1
-0.124,-0.004,0.124,0.24806450773941843,-0.754,0.146,-0.786,0.754,-0.146,0.786,-0.0002908009193068619,-0.02163870174908863,0.3426665174869518,-0.14217918793853704,0.14132674401288664,-0.022314574877215852,0.13779713501929097,"-0.142179,+0.137684;-0.142115,-0.022315;+0.141263,-0.022237;+0.141327,+0.137761;+0.051327,+0.137797",0.00063729337640028,1,-0.003977314101500014,-5.941140663386928e-07,-0.0039791427356874855,1.190274602559603e-06,0.0039791427356874855,1
-0.128,0.0,0.12,0.24812899870833316,-0.758,0.15,-0.79,0.758,-0.15,0.79,-0.0002908007815509691,-0.021754002977286933,0.34270240362900345,-0.1422356687921067,0.14138325307520727,-0.023107560272938026,0.13703643804876456,"-0.142236,+0.136887;-0.142108,-0.023108;+0.141256,-0.023030;+0.141383,+0.136965;+0.051383,+0.137036;-0.052236,+0.136959",0.0013148864495070606,1,-0.007957324137661967,-3.0058948848157435e-06,-0.0079591645160412,3.586345991450637e-06,0.0079591645160412,1
-0.124,-0.008,0.124,0.2482579303869264,-0.754,0.142,-0.786,0.754,-0.142,0.786,-0.0002907978779193229,-0.0217226718468629,0.3426330685314137,-0.14226636721480904,0.14141398288916548,-0.02309627947422959,0.13704777574322877,"-0.142266,+0.136899;-0.142139,-0.023096;+0.141286,-0.023019;+0.141414,+0.136976;+0.051414,+0.137048;-0.052266,+0.136970",0.0013349083168600162,1,-0.007957324137662192,-3.0058948846101517e-06,-0.007959164516041424,3.5863459913232057e-06,0.007959164516041424,1
-0.104,-0.04,0.136,0.24864432428672087,-0.734,0.10999999999999999,-0.774,0.734,-0.10999999999999999,0.774,-0.00029078816054426603,-0.021431272309303886,0.34233283749594046,-0.14239220755220114,0.14153992465219023,-0.02230060508008775,0.13784361406466478,"-0.142392,+0.137694;-0.142264,-0.022301;+0.141412,-0.022223;+0.141540,+0.137772;+0.051540,+0.137844;-0.052392,+0.137766",0.000830551481070019,1,-0.00795732413766197,-3.0058948846777496e-06,-0.0079591645160412,3.586345991372423e-06,0.0079591645160412,1
-0.12,-0.012,0.128,0.24870866490735702,-0.75,0.13799999999999998,-0.782,0.75,-0.13799999999999998,0.782,-0.0002907980217427094,-0.02160717110512611,0.34259757065527424,-0.1422097357216173,0.14135732314042126,-0.022302557952427332,0.137809208845904,"-0.142210,+0.137696;-0.142146,-0.022303;+0.141293,-0.022225;+0.141357,+0.137773;+0.051357,+0.137809",0.0006567786281527772,1,-0.003977314101500015,-5.941140666633011e-07,-0.0039791427356869295,1.1902746026186043e-06,0.0039791427356869295,1
-0.12,-0.016,0.128,0.24915858403835897,-0.75,0.134,-0.782,0.75,-0.134,0.782,-0.0002907949823371598,-0.02169121911283304,0.3425643850252151,-0.14229676891591497,0.14144441591675477,-0.0230847506472788,0.1370593605784399,"-0.142297,+0.136910;-0.142169,-0.023085;+0.141317,-0.023007;+0.141444,+0.136988;+0.051444,+0.137059;-0.052297,+0.136982",0.0013548042036799859,1,-0.00795732413766197,-3.005894884599589e-06,-0.007959164516040979,3.5863459913923943e-06,0.007959164516040979,1
-0.108,-0.032,0.136,0.24973586046060747,-0.738,0.118,-0.774,0.738,-0.118,0.774,-0.00029079172030329085,-0.021445507552784505,0.34241336969733244,-0.1422877793287498,0.1414354330862314,-0.021897981999569764,0.13821389522029073,"-0.142288,+0.138101;-0.142224,-0.021898;+0.141372,-0.021821;+0.141435,+0.138178;+0.051435,+0.138214",0.00041381100073618876,1,-0.003977314101500236,-5.941140668098296e-07,-0.0039791427356869295,1.1902746026186043e-06,0.0039791427356869295,1
-0.116,-0.02,0.132,0.25011997121381574,-0.746,0.13,-0.778,0.746,-0.13,0.778,-0.0002907951322368094,-0.0215755204200116,0.3425292762059476,-0.1422399864904099,0.1413876051888319,-0.022290299041696757,0.13782152377097548,"-0.142240,+0.137708;-0.142176,-0.022290;+0.141324,-0.022213;+0.141388,+0.137786;+0.051388,+0.137822",0.0006761423792123465,1,-0.003977314101500014,-5.941140663386928e-07,-0.0039791427356873745,1.1902746029320577e-06,0.0039791427356873745,1
-0.108,-0.036,0.136,0.2508226465054541,-0.738,0.11399999999999999,-0.774,0.738,-0.11399999999999999,0.774,-0.0002907886849743592,-0.021529708201494892,0.34238071163793776,-0.1423745197802338,0.14152223308249665,-0.022681133308863226,0.13746308654854664,"-0.142375,+0.137314;-0.142247,-0.022681;+0.141395,-0.022604;+0.141522,+0.137391;+0.051522,+0.137463;-0.052375,+0.137386",0.0011126434454634512,1,-0.007957324137662414,-3.0058948847367585e-06,-0.007959164516041424,3.586345991480824e-06,0.007959164516041424,1
-0.116,-0.024,0.132,0.25082264650545416,-0.746,0.126,-0.778,0.746,-0.126,0.778,-0.0002907920948508103,-0.021659645278440436,0.3424963542093423,-0.14232687340899808,0.14147455167104728,-0.023072973976546708,0.13707119236904067,"-0.142327,+0.136922;-0.142199,-0.023073;+0.141347,-0.022996;+0.141475,+0.136999;+0.051475,+0.137071;-0.052327,+0.136994",0.0013745737916329196,1,-0.007957324137662413,-3.005894884894377e-06,-0.007959164516041202,3.586345991568668e-06,0.007959164516041202,1
-0.112,-0.024,0.136,0.25145973832802737,-0.742,0.126,-0.774,0.742,-0.126,0.774,-0.0002907952865796349,-0.021459681513009747,0.34249462814897275,-0.14218291268938302,0.14133055246835224,-0.021495584287402128,0.1385814472604379,"-0.142183,-0.021496;-0.052183,-0.021496;+0.141331,-0.021419;+0.141330,+0.138581;+0.051330,+0.138581;-0.142183,+0.138504",1.5246173644419213e-05,1,2.696580464548301e-06,2.2809336838705521e-07,8.796840945797664e-07,3.8330635823007816e-07,2.696580464548301e-06,1
