time,com_x,com_y,com_z,base_x,base_y,base_z,base_roll,base_pitch,base_yaw,support_x_min,support_x_max,support_y_min,support_y_max,com_inside_support,left_contact,right_contact,support_point_count,left_fx,left_fy,left_fz,right_fx,right_fy,right_fz,left_contact_x_mean,left_contact_y_mean,right_contact_x_mean,right_contact_y_mean,right_minus_left_fz,left_force_age,right_force_age,left_force_stale,right_force_stale,com_support_signed_distance,source_sim_time,pose_updated
0.26,0.018490274305906166,-0.07907567226861223,0.34434470543188667,0.022789700990671714,-0.0656932909572561,0.4179018215652514,0.17218756328143214,0.008989385164732315,-0.2449892695744917,-0.11291191548645835,0.20347968948028627,-0.06960036415160722,0.14690198310345254,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,-0.04077350757100472,0.255,1
0.27,0.018490274305906166,-0.07907567226861223,0.34434470543188667,0.022789700990671714,-0.0656932909572561,0.4179018215652514,0.17218756328143214,0.008989385164732315,-0.2449892695744917,-0.11291191548645835,0.20347968948028627,-0.06960036415160722,0.14690198310345254,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,-0.04077350757100472,0.255,0
0.28,0.016927218700979515,-0.0844126415782751,0.3432528867345126,0.021352637231903844,-0.07177186599709141,0.41693182597714024,0.17929754462736983,0.010567113077536872,-0.2588441534650605,-0.11302241518060283,0.20464694799898275,-0.07364500374096902,0.1456837902219668,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,-0.043836647817940104,0.272,1
0.29,0.014568665936747098,-0.09018961847511917,0.34353015699611394,0.018837581112680753,-0.07810673435282195,0.4172894106850761,0.1884900940022144,0.007462453680850256,-0.27562921261382006,-0.11254911177352965,0.20638686105896326,-0.0796126366711916,0.14326224378289054,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,-0.04638733930954624,0.289,1
0.3,0.014568665936747098,-0.09018961847511917,0.34353015699611394,0.018837581112680753,-0.07810673435282195,0.4172894106850761,0.1884900940022144,0.007462453680850256,-0.27562921261382006,-0.11254911177352965,0.20638686105896326,-0.0796126366711916,0.14326224378289054,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,-0.04638733930954624,0.289,0
0.31,0.011932803951817192,-0.09609849634248746,0.34256625160253573,0.01612777439770285,-0.08468323629697526,0.41644978791536275,0.19573940342813928,0.006742726770563473,-0.29035049021567993,-0.11266548394755249,0.20733720392589666,-0.0848742720515461,0.14102918134608017,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,-0.04926156686304656,0.306,1
0.32,0.011932803951817192,-0.09609849634248746,0.34256625160253573,0.01612777439770285,-0.08468323629697526,0.41644978791536275,0.19573940342813928,0.006742726770563473,-0.29035049021567993,-0.11266548394755249,0.20733720392589666,-0.0848742720515461,0.14102918134608017,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,-0.04926156686304656,0.306,0
0.33,0.009353995964700304,-0.10230653869292809,0.3420157475719629,0.013758150373665314,-0.09183066898842351,0.41598504545738846,0.20763523044299917,0.01181738738550266,-0.3061658777420616,-0.11408769623795025,0.20721462872868798,-0.08988963367718983,0.14003159375736834,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,-0.05335227021079991,0.323,1
0.34,0.0066101591800567785,-0.10880171963488668,0.3410044740843592,0.011014828123842755,-0.09932750472466834,0.4151051603169407,0.21850646907830318,0.013315118918723804,-0.3227980404792655,-0.11464486930429196,0.20833507666721524,-0.09447076960921702,0.13842726732420374,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,-0.05751758972163762,0.34,1
0.35000000000000003,0.0066101591800567785,-0.10880171963488668,0.3410044740843592,0.011014828123842755,-0.09932750472466834,0.4151051603169407,0.21850646907830318,0.013315118918723804,-0.3227980404792655,-0.11464486930429196,0.20833507666721524,-0.09447076960921702,0.13842726732420374,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,-0.05751758972163762,0.34,0
0.36,0.0033357764096065973,-0.1156138099538934,0.3403211316927375,0.007493497864269059,-0.1071079443859107,0.4145391805830853,0.23348830877952104,0.012051630678040496,-0.3397948435496855,-0.11441939696094292,0.209203710410858,-0.09977457249330915,0.13622877255425836,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,-0.061840067896917095,0.357,1
