frame,time,RL0,RL1,RL2,RL3,RL4,RL5,LL0,LL1,LL2,LL3,LL4,LL5
15,0.15,4.484726229688205e-17,0.103000880414,-0.8159435086900376,0.1379986803195542,-0.7139421890095909,-0.103000880414,2.7087880284692107e-18,-0.096999119586,0.8159435086900376,-0.1379986803195542,0.7139421890095909,0.096999119586
16,0.16,3.957685043246878e-17,0.103382580830,-0.8159390681373867,0.13799851117741346,-0.7139375793147997,-0.103382580830,7.898650620940903e-18,-0.096617419170,0.8159390681373867,-0.1379985111774148,0.7139375793147997,0.096617419170
17,0.17,3.8341730008058153e-17,0.103796348998,-0.8159345487960411,0.13799832556923664,-0.7139328743652746,-0.103796348998,1.0504809161976277e-17,-0.096203651001,0.8159345487960411,-0.13799832556923752,0.7139328743652782,0.096203651001
18,0.18,4.7919750290832154e-17,0.104244610286,-0.8159299550867029,0.1379981218294405,-0.7139280769161451,-0.104244610286,9.83209437060582e-18,-0.095755389714,0.8159299550867029,-0.13799812182944093,0.7139280769161451,0.095755389714
19,0.19,4.585988734183964e-17,0.104729969347,-0.8159252928361741,0.13799789810116814,-0.7139231909373414,-0.104729969347,8.362660111425528e-18,-0.095270030653,0.8159252928361741,-0.1379978981011668,0.7139231909373414,0.095270030653
20,0.2,4.850585126703812e-17,0.105255221419,-0.8159205694008601,0.13799765231227756,-0.7139182217131412,-0.105255221419,-6.416991818968566e-18,-0.094744778581,0.8159205694008601,-0.137997652312278,0.7139182217131412,0.094744778581
21,0.21,3.8547549344738084e-17,0.105823364386,-0.8159157938021951,0.13799738214801593,-0.713913175950212,-0.105823364386,-3.2742303924215196e-18,-0.094176635614,0.8159157938021951,-0.13799738214801638,0.713913175950212,0.094176635614
22,0.22,3.227092854344214e-17,0.106437611645,-0.8159109768750678,0.13799708501996444,-0.7139080618950309,-0.106437611645,-4.354162413308786e-18,-0.093562388355,0.8159109768750678,-0.13799708501996355,0.7139080618950309,0.093562388355
23,0.23,3.7805671501820414e-17,0.107101405778,-0.8159061314304888,0.13799675803069855,-0.7139028894611861,-0.107101405778,-1.218059720705178e-17,-0.092898594222,0.8159061314304888,-0.13799675803069766,0.7139028894611861,0.092898594222
24,0.24,4.981663240346399e-17,0.107818433051,-0.8159012724336893,0.1379963979336184,-0.7138976703673037,-0.107818433051,2.084408248229708e-17,-0.092181566949,0.8159012724336893,-0.13799639793361707,0.7138976703673037,0.092181566949
25,0.25,4.5178682018843614e-17,0.108592638755,-0.815896417198915,0.13799600108727328,-0.713892418286187,-0.108592638755,2.961928360866193e-17,-0.091407361244,0.815896417198915,-0.13799600108727683,0.713892418286187,0.091407361244
26,0.26,3.290752357802607e-17,0.109428243453,-0.8158915856023273,0.13799556340343966,-0.7138871490057688,-0.109428243453,3.2325726731854303e-18,-0.090571756547,0.8158915856023273,-0.1379955634034401,0.7138871490057688,0.090571756547
