frame,RL1_wrap,RL5_wrap,LL1_wrap,LL5_wrap
209,0.4879499999999995,-0.4879499999999995,0.5016599999999993,-0.5016599999999993
210,0.4379499999999995,-0.4379499999999995,0.45165999999999934,-0.45165999999999934
211,0.3879499999999995,-0.3879499999999995,0.40165999999999935,-0.40165999999999935
212,0.33794999999999953,-0.33794999999999953,0.35165999999999936,-0.35165999999999936
213,0.28794999999999954,-0.28794999999999954,0.3016599999999994,-0.3016599999999994
214,0.23794999999999955,-0.23794999999999955,0.2516599999999994,-0.2516599999999994
215,0.18794999999999956,-0.18794999999999956,0.2016599999999994,-0.2016599999999994
216,0.13794999999999957,-0.13794999999999957,0.1516599999999994,-0.1516599999999994
217,0.08794999999999957,-0.08794999999999957,0.1016599999999994,-0.1016599999999994
218,0.03794999999999957,-0.03794999999999957,0.0516599999999994,-0.0516599999999994
219,-0.012050000000000435,0.012050000000000435,0.001659999999999398,-0.001659999999999398
220,-0.06205000000000044,0.06205000000000044,-0.048340000000000605,0.048340000000000605
221,-0.11205000000000044,0.11205000000000044,-0.09834000000000061,0.09834000000000061
222,-0.16205000000000044,0.16205000000000044,-0.1483400000000006,0.1483400000000006
223,-0.21205000000000046,0.21205000000000046,-0.19834000000000063,0.19834000000000063
224,-0.26205000000000045,0.26205000000000045,-0.24834000000000062,0.24834000000000062
225,-0.31205000000000044,0.31205000000000044,-0.2983400000000006,0.2983400000000006
226,-0.3620500000000004,0.3620500000000004,-0.3483400000000006,0.3483400000000006
227,-0.4120500000000004,0.4120500000000004,-0.3983400000000006,0.3983400000000006
228,-0.4620500000000004,0.4620500000000004,-0.44834000000000057,0.44834000000000057
229,-0.5120500000000004,0.5120500000000004,-0.49834000000000056,0.49834000000000056
230,-0.5620500000000005,0.5620500000000005,-0.5483400000000006,0.5483400000000006
231,-0.6120500000000005,0.6120500000000005,-0.5983400000000006,0.5983400000000006
232,-0.6620500000000006,0.6620500000000006,-0.6483400000000007,0.6483400000000007
233,-0.7120500000000006,0.7120500000000006,-0.6983400000000007,0.6983400000000007
234,-0.7620500000000007,0.7620500000000007,-0.7483400000000008,0.7483400000000008
235,-0.8120500000000007,0.8120500000000007,-0.7983400000000008,0.7983400000000008
236,-0.8620500000000008,0.8620500000000008,-0.8483400000000009,0.8483400000000009
237,-0.9120500000000008,0.9120500000000008,-0.8983400000000009,0.8983400000000009
238,-0.9620500000000008,0.9620500000000008,-0.948340000000001,0.948340000000001
239,-1.0120500000000008,1.0120500000000008,-0.998340000000001,0.998340000000001
240,-1.0620500000000008,1.0620500000000008,-1.048340000000001,1.048340000000001
241,-1.1120500000000009,1.1120500000000009,-1.098340000000001,1.098340000000001
242,-1.162050000000001,1.162050000000001,-1.148340000000001,1.148340000000001
243,-1.212050000000001,1.212050000000001,-1.198340000000001,1.198340000000001
244,-1.262050000000001,1.262050000000001,-1.2483400000000011,1.2483400000000011
245,-1.312050000000001,1.312050000000001,-1.2983400000000012,1.2983400000000012
246,-1.362050000000001,1.362050000000001,-1.3483400000000012,1.3483400000000012
247,-1.4120500000000011,1.4120500000000011,-1.3983400000000012,1.3983400000000012
248,-1.4620500000000012,1.4620500000000012,-1.41507,1.41507
249,-1.5120500000000012,1.5120500000000012,-1.41095,1.41095
250,-1.5620500000000013,1.5620500000000013,-1.40605,1.40605
251,-1.6120500000000013,1.6120500000000013,-1.40015,1.40015
252,-1.61992,1.61992,-1.39296,1.39296
253,-1.58663,1.58663,-1.38412,1.38412
254,-1.55134,1.55134,-1.37329,1.37329
255,-1.51366,1.51366,-1.36001,1.36001
256,-1.47311,1.47311,-1.34368,1.34368
257,-1.42902,1.42902,-1.32348,1.32348
258,-1.38045,1.38045,-1.29821,1.29821
259,-1.33045,1.33045,-1.26614,1.26614
260,-1.2804499999999999,1.2804499999999999,-1.22462,1.22462
261,-1.2304499999999998,1.2304499999999998,-1.17462,1.17462
262,-1.1804499999999998,1.1804499999999998,-1.12462,1.12462
263,-1.1304499999999997,1.1304499999999997,-1.07462,1.07462
264,-1.0804499999999997,1.0804499999999997,-1.0246199999999999,1.0246199999999999
265,-1.0304499999999996,1.0304499999999996,-0.9746199999999998,0.9746199999999998
266,-0.9804499999999996,0.9804499999999996,-0.9246199999999998,0.9246199999999998
267,-0.9304499999999996,0.9304499999999996,-0.8746199999999997,0.8746199999999997
268,-0.8804499999999995,0.8804499999999995,-0.8246199999999997,0.8246199999999997
269,-0.8304499999999995,0.8304499999999995,-0.7746199999999996,0.7746199999999996
270,-0.7804499999999994,0.7804499999999994,-0.7246199999999996,0.7246199999999996
271,-0.7304499999999994,0.7304499999999994,-0.6746199999999996,0.6746199999999996
272,-0.6804499999999993,0.6804499999999993,-0.6246199999999995,0.6246199999999995
273,-0.6304499999999993,0.6304499999999993,-0.5746199999999995,0.5746199999999995
274,-0.5804499999999992,0.5804499999999992,-0.5246199999999994,0.5246199999999994
275,-0.5304499999999992,0.5304499999999992,-0.47461999999999943,0.47461999999999943
276,-0.4804499999999992,0.4804499999999992,-0.42461999999999944,0.42461999999999944
277,-0.4304499999999992,0.4304499999999992,-0.37461999999999945,0.37461999999999945
278,-0.38044999999999923,0.38044999999999923,-0.32461999999999946,0.32461999999999946
279,-0.33044999999999924,0.33044999999999924,-0.2746199999999995,0.2746199999999995
280,-0.28044999999999926,0.28044999999999926,-0.2246199999999995,0.2246199999999995
281,-0.23044999999999927,0.23044999999999927,-0.1746199999999995,0.1746199999999995
282,-0.18044999999999928,0.18044999999999928,-0.1246199999999995,0.1246199999999995
283,-0.1304499999999993,0.1304499999999993,-0.07461999999999949,0.07461999999999949
284,-0.08044999999999929,0.08044999999999929,-0.02461999999999949,0.02461999999999949
285,-0.030449999999999283,0.030449999999999283,0.025380000000000513,-0.025380000000000513
286,0.01955000000000072,-0.01955000000000072,0.07538000000000052,-0.07538000000000052
287,0.06955000000000072,-0.06955000000000072,0.12538000000000052,-0.12538000000000052
288,0.11955000000000073,-0.11955000000000073,0.17538000000000054,-0.17538000000000054
289,0.16955000000000073,-0.16955000000000073,0.22538000000000052,-0.22538000000000052
290,0.21955000000000074,-0.21955000000000074,0.2753800000000005,-0.2753800000000005
291,0.26955000000000073,-0.26955000000000073,0.3253800000000005,-0.3253800000000005
292,0.3195500000000007,-0.3195500000000007,0.3753800000000005,-0.3753800000000005
293,0.3695500000000007,-0.3695500000000007,0.4253800000000005,-0.4253800000000005
294,0.4195500000000007,-0.4195500000000007,0.47538000000000047,-0.47538000000000047
295,0.4695500000000007,-0.4695500000000007,0.5253800000000005,-0.5253800000000005
296,0.5195500000000007,-0.5195500000000007,0.5753800000000006,-0.5753800000000006
297,0.5695500000000008,-0.5695500000000008,0.6253800000000006,-0.6253800000000006
298,0.6195500000000008,-0.6195500000000008,0.6753800000000006,-0.6753800000000006
299,0.6695500000000009,-0.6695500000000009,0.7253800000000007,-0.7253800000000007
300,0.7195500000000009,-0.7195500000000009,0.7753800000000007,-0.7753800000000007
301,0.769550000000001,-0.769550000000001,0.8253800000000008,-0.8253800000000008
302,0.819550000000001,-0.819550000000001,0.8753800000000008,-0.8753800000000008
303,0.869550000000001,-0.869550000000001,0.9253800000000009,-0.9253800000000009
304,0.9195500000000011,-0.9195500000000011,0.9753800000000009,-0.9753800000000009
305,0.9695500000000011,-0.9695500000000011,1.0253800000000008,-1.0253800000000008
