frame,RL1_wrap_original,RL1_wrap_rate005,RL1_wrap_diff,RL5_wrap_original,RL5_wrap_rate005,RL5_wrap_diff,LL1_wrap_original,LL1_wrap_rate005,LL1_wrap_diff,LL5_wrap_original,LL5_wrap_rate005,LL5_wrap_diff
79,-1.46575,-1.46575,0.0,1.46575,1.46575,0.0,-1.43006,-1.43006,0.0,1.43006,1.43006,0.0
80,-1.48327,-1.48327,0.0,1.48327,1.48327,0.0,-1.43231,-1.43231,0.0,1.43231,1.43231,0.0
81,-1.50271,-1.50271,0.0,1.50271,1.50271,0.0,-1.43436,-1.43436,0.0,1.43436,1.43436,0.0
82,-1.52379,-1.52379,0.0,1.52379,1.52379,0.0,-1.43623,-1.43623,0.0,1.43623,1.43623,0.0
83,-1.54623,-1.54623,0.0,1.54623,1.54623,0.0,-1.43793,-1.43793,0.0,1.43793,1.43793,0.0
84,-1.56975,-1.56975,0.0,1.56975,1.56975,0.0,-1.43947,-1.43947,0.0,1.43947,1.43947,0.0
85,-1.59402,-1.59402,0.0,1.59402,1.59402,0.0,-1.44085,-1.44085,0.0,1.44085,1.44085,0.0
86,-1.61874,-1.61874,0.0,1.61874,1.61874,0.0,-1.44209,-1.44209,0.0,1.44209,1.44209,0.0
87,-1.6436,-1.6436,0.0,1.6436,1.6436,0.0,-1.4432,-1.4432,0.0,1.4432,1.4432,0.0
88,-1.66828,-1.66828,0.0,1.66828,1.66828,0.0,-1.44417,-1.44417,0.0,1.44417,1.44417,0.0
89,-1.69249,-1.69249,0.0,1.69249,1.69249,0.0,-1.44502,-1.44502,0.0,1.44502,1.44502,0.0
90,-1.71594,-1.71594,0.0,1.71594,1.71594,0.0,-1.44576,-1.44576,0.0,1.44576,1.44576,0.0
91,-1.73838,-1.73838,0.0,1.73838,1.73838,0.0,-1.44637,-1.44637,0.0,1.44637,1.44637,0.0
92,-1.75956,-1.75956,0.0,1.75956,1.75956,0.0,-1.44687,-1.44687,0.0,1.44687,1.44687,0.0
93,-1.77928,-1.77928,0.0,1.77928,1.77928,0.0,-1.44726,-1.44726,0.0,1.44726,1.44726,0.0
94,-1.79734,-1.79734,0.0,1.79734,1.79734,0.0,-1.44753,-1.44753,0.0,1.44753,1.44753,0.0
95,-1.81358,-1.81358,0.0,1.81358,1.81358,0.0,-1.4477,-1.4477,0.0,1.4477,1.4477,0.0
96,-1.82788,-1.82788,0.0,1.82788,1.82788,0.0,-1.44775,-1.44775,0.0,1.44775,1.44775,0.0
97,-1.84011,-1.84011,0.0,1.84011,1.84011,0.0,-1.44768,-1.44768,0.0,1.44768,1.44768,0.0
98,-1.85019,-1.85019,0.0,1.85019,1.85019,0.0,-1.44749,-1.44749,0.0,1.44749,1.44749,0.0
99,-1.85806,-1.85806,0.0,1.85806,1.85806,0.0,-1.44719,-1.44719,0.0,1.44719,1.44719,0.0
100,-1.86365,-1.86365,0.0,1.86365,1.86365,0.0,-1.44675,-1.44675,0.0,1.44675,1.44675,0.0
101,-1.86694,-1.86694,0.0,1.86694,1.86694,0.0,-1.44618,-1.44618,0.0,1.44618,1.44618,0.0
102,-1.86789,-1.86789,0.0,1.86789,1.86789,0.0,-1.44546,-1.44546,0.0,1.44546,1.44546,0.0
103,-1.86649,-1.86649,0.0,1.86649,1.86649,0.0,-1.44459,-1.44459,0.0,1.44459,1.44459,0.0
104,-1.86274,-1.86274,0.0,1.86274,1.86274,0.0,-1.44356,-1.44356,0.0,1.44356,1.44356,0.0
105,-1.85665,-1.85665,0.0,1.85665,1.85665,0.0,-1.44235,-1.44235,0.0,1.44235,1.44235,0.0
106,-1.84823,-1.84823,0.0,1.84823,1.84823,0.0,-1.44093,-1.44093,0.0,1.44093,1.44093,0.0
107,-1.83752,-1.83752,0.0,1.83752,1.83752,0.0,-1.43931,-1.43931,0.0,1.43931,1.43931,0.0
108,-1.82455,-1.82455,0.0,1.82455,1.82455,0.0,-1.43744,-1.43744,0.0,1.43744,1.43744,0.0
109,-1.80936,-1.80936,0.0,1.80936,1.80936,0.0,-1.43531,-1.43531,0.0,1.43531,1.43531,0.0
110,-1.79201,-1.79201,0.0,1.79201,1.79201,0.0,-1.43288,-1.43288,0.0,1.43288,1.43288,0.0
111,-1.77257,-1.77257,0.0,1.77257,1.77257,0.0,-1.43011,-1.43011,0.0,1.43011,1.43011,0.0
112,-1.75114,-1.75114,0.0,1.75114,1.75114,0.0,-1.42694,-1.42694,0.0,1.42694,1.42694,0.0
113,-1.72781,-1.72781,0.0,1.72781,1.72781,0.0,-1.42332,-1.42332,0.0,1.42332,1.42332,0.0
114,-1.70269,-1.70269,0.0,1.70269,1.70269,0.0,-1.41912,-1.41912,0.0,1.41912,1.41912,0.0
115,-1.67591,-1.67591,0.0,1.67591,1.67591,0.0,-1.41421,-1.41421,0.0,1.41421,1.41421,0.0
116,-1.64753,-1.64753,0.0,1.64753,1.64753,0.0,-1.40837,-1.40837,0.0,1.40837,1.40837,0.0
117,-1.61756,-1.61756,0.0,1.61756,1.61756,0.0,-1.40133,-1.40133,0.0,1.40133,1.40133,0.0
118,-1.58588,-1.58588,0.0,1.58588,1.58588,0.0,-1.39278,-1.39278,0.0,1.39278,1.39278,0.0
119,-1.55225,-1.55225,0.0,1.55225,1.55225,0.0,-1.38236,-1.38236,0.0,1.38236,1.38236,0.0
120,-1.51635,-1.51635,0.0,1.51635,1.51635,0.0,-1.36969,-1.36969,0.0,1.36969,1.36969,0.0
121,-1.47775,-1.47775,0.0,1.47775,1.47775,0.0,-1.35419,-1.35419,0.0,1.35419,1.35419,0.0
122,-1.43586,-1.43586,0.0,1.43586,1.43586,0.0,-1.33511,-1.33511,0.0,1.33511,1.33511,0.0
123,-1.38987,-1.38987,0.0,1.38987,1.38987,0.0,-1.31139,-1.31139,0.0,1.31139,1.31139,0.0
124,-1.33863,-1.33987,-0.0012399999999999078,1.33863,1.33987,0.0012399999999999078,-1.28144,-1.28144,0.0,1.28144,1.28144,0.0
125,-1.28039,-1.2898699999999999,-0.009479999999999933,1.28039,1.2898699999999999,0.009479999999999933,-1.24292,-1.24292,0.0,1.24292,1.24292,0.0
126,-1.21242,-1.2398699999999998,-0.027449999999999752,1.21242,1.2398699999999998,0.027449999999999752,-1.19216,-1.19292,-0.0007599999999998719,1.19216,1.19292,0.0007599999999998719
127,-1.13026,-1.1898699999999998,-0.05960999999999972,1.13026,1.1898699999999998,0.05960999999999972,-1.12316,-1.14292,-0.01976,1.12316,1.14292,0.01976
128,-1.02617,-1.1398699999999997,-0.11369999999999969,1.02617,1.1398699999999997,0.11369999999999969,-1.02584,-1.09292,-0.0670799999999998,1.02584,1.09292,0.0670799999999998
129,-0.882831,-1.0898699999999997,-0.20703899999999964,0.882831,1.0898699999999997,0.20703899999999964,-0.882831,-1.0429199999999998,-0.16008899999999981,0.882831,1.0429199999999998,0.16008899999999981
130,-0.665942,-1.0398699999999996,-0.3739279999999996,0.665941,1.0398699999999996,0.3739289999999996,-0.665942,-0.9929199999999998,-0.32697799999999977,0.665941,0.9929199999999998,0.3269789999999998
131,-0.344195,-0.9898699999999996,-0.6456749999999996,0.344192,0.9898699999999996,0.6456779999999995,-0.344195,-0.9429199999999998,-0.5987249999999997,0.344192,0.9429199999999998,0.5987279999999997
132,0.0632773,-0.9398699999999995,-1.0031472999999995,-0.0632814,0.9398699999999995,1.0031513999999995,0.063277,-0.8929199999999997,-0.9561969999999997,-0.063281,0.8929199999999997,0.9562009999999997
133,0.446204,-0.8898699999999995,-1.3360739999999995,-0.446201,0.8898699999999995,1.3360709999999996,0.446203,-0.8429199999999997,-1.2891229999999996,-0.446201,0.8429199999999997,1.2891209999999997
